,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Agora Annuity Grid,Athene,,,Fidelity & Guaranty,,,,Nationwide,,North American,,,,Corebridge,,Equitrust,,,Oceanview,,Nassau,,
,Performace Elite 10,Agility 10,,Accelerator Plus 10,,,,Peak 10,,Charter Plus,NAC Benefit Solutions,Performance Choice,,Power 10 Protector,,MarketEdge Bonus Index,,,Harbourview FIA 10,,Personal Protection Choice A,Growth Annuity 10,
,Age 0-70,Age 0-70,Schedule,Age 0-75,Age 76-80,Age 81-85,Schedule,Age 0-75,Schedule,Age 0-75,Age 0-76,Age 0-75,Schedule,Age 0-75,Schedule,Age 0-75,Age 76-80,Schedule,Age 0-79,Schedule,Age 0-75,Age 0-75,Schedule
130 Division Executive,7.00%,6.50%,GA,8.00%,6.00%,4.25%,R7 Street,7.00%,Level 4,7.00%,7.00%,5.25%,WA Reg,7.25%,C,7.25%,5.44%,BGA,7.90%,MGA,7.35%,7.35%,GA
125 Regional Executive,7.00%,6.50%,GA,7.50%,5.75%,4.00%,RD,7.00%,Level 4,7.00%,7.00%,5.25%,WA Reg,7.00%,D,7.00%,5.25%,MGA,7.90%,MGA,7.35%,7.35%,GA
120 Executive Advisor,7.00%,6.50%,GA,7.00%,5.50%,3.75%,R8,7.00%,Level 4,7.00%,7.00%,5.25%,WA Reg,6.75%,E,6.50%,4.88%,GA,7.90%,MGA,7.35%,7.35%,GA
115 Agency Director,6.75%,6.25%,SGA,6.50%,5.25%,3.50%,R9,6.50%,Level 3,7.00%,7.00%,5.25%,WA Reg,6.50%,F,6.50%,4.88%,GA,7.50%,Agent,6.85%,6.85%,Agent+
110 Regional Director,6.75%,6.25%,SGA,6.00%,5.00%,3.25%,RG,6.50%,Level 3,7.00%,7.00%,5.25%,WA Reg,6.25%,G,6.00%,4.50%,A10,7.50%,Agent,6.85%,6.85%,Agent+
105 Advisor Specialist,6.75%,6.25%,SGA,5.50%,4.75%,3.00%,RF,6.50%,Level 3,6.65%,6.65%,5.00%,WA Opt,6.00%,H,6.00%,4.50%,A10,7.50%,Agent,6.85%,6.85%,Agent+
100 Assurance Broker,6.75%,6.25%,SGA,5.00%,4.50%,2.75%,RH,6.50%,Level 3,6.65%,6.65%,5.00%,WA Opt,5.75%,I,5.50%,4.13%,A20,5.25%,Sub Agent,6.35%,6.35%,Agent
95 Regional Liaison,6.50%,6.00%,Street,5.00%,4.50%,2.75%,RH,5.50%,Level 2,6.65%,6.65%,5.00%,WA Opt,5.50%,J,5.50%,4.13%,A20,5.25%,Sub Agent,6.35%,6.35%,Agent
90 Assurance Advisor,6.50%,6.00%,Street,5.00%,4.50%,2.75%,RH,5.50%,Level 2,6.65%,6.65%,5.00%,WA Opt,5.00%,N,5.00%,3.75%,A30,5.25%,Sub Agent,6.35%,6.35%,Agent
80 Associate,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA,LOA